prompt,context,expected_output
"Can you quote me for a townhouse in Mount Pleasant including Double Storey Window Clean, Single Storey Window Clean, Driveway Pressure Wash","{'job_type': 'Window Clean, Pressure Wash', 'location': 'Mount Pleasant', 'building_type': 'townhouse'}","{'items': [{'label': 'Double Storey Window Clean', 'price': 180}, {'label': 'Single Storey Window Clean', 'price': 120}, {'label': 'Driveway Pressure Wash', 'price': 140}], 'total': 440}"
"Can you quote me for a townhouse in Melville including Double Storey Window Clean, Driveway Pressure Wash","{'job_type': 'Window Clean, Pressure Wash', 'location': 'Melville', 'building_type': 'townhouse'}","{'items': [{'label': 'Double Storey Window Clean', 'price': 180}, {'label': 'Driveway Pressure Wash', 'price': 140}], 'total': 320}"
Can you quote me for a apartment block in Melville including Standard Gutter Clean,"{'job_type': 'Gutter Clean', 'location': 'Melville', 'building_type': 'apartment block'}","{'items': [{'label': 'Standard Gutter Clean', 'price': 90}], 'total': 90}"
"Can you quote me for a two-storey house in Melville including 2 Storey Exterior House Wash, Standard Gutter Clean","{'job_type': 'Exterior House Wash, Gutter Clean', 'location': 'Melville', 'building_type': 'two-storey house'}","{'items': [{'label': '2 Storey Exterior House Wash', 'price': 330}, {'label': 'Standard Gutter Clean', 'price': 90}], 'total': 420}"
Can you quote me for a townhouse in Attadale including Driveway Pressure Wash,"{'job_type': 'Pressure Wash', 'location': 'Attadale', 'building_type': 'townhouse'}","{'items': [{'label': 'Driveway Pressure Wash', 'price': 140}], 'total': 140}"
"Can you quote me for a single-storey house in Attadale including Driveway Pressure Wash, Single Storey Window Clean","{'job_type': 'Window Clean, Pressure Wash', 'location': 'Attadale', 'building_type': 'single-storey house'}","{'items': [{'label': 'Driveway Pressure Wash', 'price': 140}, {'label': 'Single Storey Window Clean', 'price': 120}], 'total': 260}"
"Can you quote me for a townhouse in Applecross including 20 Panels Solar Panel Clean, Driveway Pressure Wash","{'job_type': 'Solar Panel Clean, Pressure Wash', 'location': 'Applecross', 'building_type': 'townhouse'}","{'items': [{'label': '20 Panels Solar Panel Clean', 'price': 150}, {'label': 'Driveway Pressure Wash', 'price': 140}], 'total': 290}"
"Can you quote me for a apartment block in Palmyra including Full House Pressure Wash, Tiled Roof Roof Clean","{'job_type': 'Roof Clean, Pressure Wash', 'location': 'Palmyra', 'building_type': 'apartment block'}","{'items': [{'label': 'Full House Pressure Wash', 'price': 330}, {'label': 'Tiled Roof Roof Clean', 'price': 400}], 'total': 730}"
Can you quote me for a townhouse in Bicton including Standard Gutter Clean,"{'job_type': 'Gutter Clean', 'location': 'Bicton', 'building_type': 'townhouse'}","{'items': [{'label': 'Standard Gutter Clean', 'price': 90}], 'total': 90}"
Can you quote me for a single-storey house in Palmyra including Tiled Roof Roof Clean,"{'job_type': 'Roof Clean', 'location': 'Palmyra', 'building_type': 'single-storey house'}","{'items': [{'label': 'Tiled Roof Roof Clean', 'price': 400}], 'total': 400}"
"Can you quote me for a townhouse in Mount Pleasant including Single Storey Window Clean, Standard Gutter Clean","{'job_type': 'Window Clean, Gutter Clean', 'location': 'Mount Pleasant', 'building_type': 'townhouse'}","{'items': [{'label': 'Single Storey Window Clean', 'price': 120}, {'label': 'Standard Gutter Clean', 'price': 90}], 'total': 210}"
"Can you quote me for a apartment block in Palmyra including Double Storey Window Clean, 2 Storey Exterior House Wash","{'job_type': 'Window Clean, Exterior House Wash', 'location': 'Palmyra', 'building_type': 'apartment block'}","{'items': [{'label': 'Double Storey Window Clean', 'price': 180}, {'label': '2 Storey Exterior House Wash', 'price': 330}], 'total': 510}"
"Can you quote me for a two-storey house in Mount Pleasant including Single Storey Window Clean, 2 Storey Exterior House Wash","{'job_type': 'Window Clean, Exterior House Wash', 'location': 'Mount Pleasant', 'building_type': 'two-storey house'}","{'items': [{'label': 'Single Storey Window Clean', 'price': 120}, {'label': '2 Storey Exterior House Wash', 'price': 330}], 'total': 450}"
"Can you quote me for a apartment block in Applecross including 20 Panels Solar Panel Clean, Driveway Pressure Wash, Standard Gutter Clean","{'job_type': 'Solar Panel Clean, Gutter Clean, Pressure Wash', 'location': 'Applecross', 'building_type': 'apartment block'}","{'items': [{'label': '20 Panels Solar Panel Clean', 'price': 150}, {'label': 'Driveway Pressure Wash', 'price': 140}, {'label': 'Standard Gutter Clean', 'price': 90}], 'total': 380}"
"Can you quote me for a townhouse in Palmyra including Standard Gutter Clean, Driveway Pressure Wash, 2 Storey Exterior House Wash","{'job_type': 'Exterior House Wash, Gutter Clean, Pressure Wash', 'location': 'Palmyra', 'building_type': 'townhouse'}","{'items': [{'label': 'Standard Gutter Clean', 'price': 90}, {'label': 'Driveway Pressure Wash', 'price': 140}, {'label': '2 Storey Exterior House Wash', 'price': 330}], 'total': 560}"
"Can you quote me for a single-storey house in Mount Pleasant including Single Storey Window Clean, Tiled Roof Roof Clean","{'job_type': 'Window Clean, Roof Clean', 'location': 'Mount Pleasant', 'building_type': 'single-storey house'}","{'items': [{'label': 'Single Storey Window Clean', 'price': 120}, {'label': 'Tiled Roof Roof Clean', 'price': 400}], 'total': 520}"
Can you quote me for a single-storey house in Attadale including Tiled Roof Roof Clean,"{'job_type': 'Roof Clean', 'location': 'Attadale', 'building_type': 'single-storey house'}","{'items': [{'label': 'Tiled Roof Roof Clean', 'price': 400}], 'total': 400}"
Can you quote me for a single-storey house in Melville including Double Storey Window Clean,"{'job_type': 'Window Clean', 'location': 'Melville', 'building_type': 'single-storey house'}","{'items': [{'label': 'Double Storey Window Clean', 'price': 180}], 'total': 180}"
"Can you quote me for a single-storey house in Palmyra including 2 Storey Exterior House Wash, Driveway Pressure Wash, Standard Gutter Clean","{'job_type': 'Exterior House Wash, Gutter Clean, Pressure Wash', 'location': 'Palmyra', 'building_type': 'single-storey house'}","{'items': [{'label': '2 Storey Exterior House Wash', 'price': 330}, {'label': 'Driveway Pressure Wash', 'price': 140}, {'label': 'Standard Gutter Clean', 'price': 90}], 'total': 560}"
"Can you quote me for a townhouse in Applecross including Tiled Roof Roof Clean, Single Storey Window Clean","{'job_type': 'Window Clean, Roof Clean', 'location': 'Applecross', 'building_type': 'townhouse'}","{'items': [{'label': 'Tiled Roof Roof Clean', 'price': 400}, {'label': 'Single Storey Window Clean', 'price': 120}], 'total': 520}"
"Can you quote me for a apartment block in Palmyra including Tiled Roof Roof Clean, Driveway Pressure Wash, Standard Gutter Clean","{'job_type': 'Roof Clean, Gutter Clean, Pressure Wash', 'location': 'Palmyra', 'building_type': 'apartment block'}","{'items': [{'label': 'Tiled Roof Roof Clean', 'price': 400}, {'label': 'Driveway Pressure Wash', 'price': 140}, {'label': 'Standard Gutter Clean', 'price': 90}], 'total': 630}"
"Can you quote me for a single-storey house in Applecross including Double Storey Window Clean, Driveway Pressure Wash","{'job_type': 'Window Clean, Pressure Wash', 'location': 'Applecross', 'building_type': 'single-storey house'}","{'items': [{'label': 'Double Storey Window Clean', 'price': 180}, {'label': 'Driveway Pressure Wash', 'price': 140}], 'total': 320}"
Can you quote me for a two-storey house in Palmyra including Single Storey Window Clean,"{'job_type': 'Window Clean', 'location': 'Palmyra', 'building_type': 'two-storey house'}","{'items': [{'label': 'Single Storey Window Clean', 'price': 120}], 'total': 120}"
Can you quote me for a two-storey house in Applecross including Standard Gutter Clean,"{'job_type': 'Gutter Clean', 'location': 'Applecross', 'building_type': 'two-storey house'}","{'items': [{'label': 'Standard Gutter Clean', 'price': 90}], 'total': 90}"
Can you quote me for a apartment block in Bicton including 20 Panels Solar Panel Clean,"{'job_type': 'Solar Panel Clean', 'location': 'Bicton', 'building_type': 'apartment block'}","{'items': [{'label': '20 Panels Solar Panel Clean', 'price': 150}], 'total': 150}"
"Can you quote me for a townhouse in Applecross including Single Storey Window Clean, Driveway Pressure Wash, 20 Panels Solar Panel Clean","{'job_type': 'Window Clean, Solar Panel Clean, Pressure Wash', 'location': 'Applecross', 'building_type': 'townhouse'}","{'items': [{'label': 'Single Storey Window Clean', 'price': 120}, {'label': 'Driveway Pressure Wash', 'price': 140}, {'label': '20 Panels Solar Panel Clean', 'price': 150}], 'total': 410}"
"Can you quote me for a two-storey house in Mount Pleasant including Full House Pressure Wash, 2 Storey Exterior House Wash","{'job_type': 'Exterior House Wash, Pressure Wash', 'location': 'Mount Pleasant', 'building_type': 'two-storey house'}","{'items': [{'label': 'Full House Pressure Wash', 'price': 330}, {'label': '2 Storey Exterior House Wash', 'price': 330}], 'total': 660}"
"Can you quote me for a two-storey house in Applecross including 20 Panels Solar Panel Clean, Standard Gutter Clean","{'job_type': 'Solar Panel Clean, Gutter Clean', 'location': 'Applecross', 'building_type': 'two-storey house'}","{'items': [{'label': '20 Panels Solar Panel Clean', 'price': 150}, {'label': 'Standard Gutter Clean', 'price': 90}], 'total': 240}"
"Can you quote me for a two-storey house in Bicton including Driveway Pressure Wash, Full House Pressure Wash","{'job_type': 'Pressure Wash', 'location': 'Bicton', 'building_type': 'two-storey house'}","{'items': [{'label': 'Driveway Pressure Wash', 'price': 140}, {'label': 'Full House Pressure Wash', 'price': 330}], 'total': 470}"
Can you quote me for a apartment block in Attadale including Tiled Roof Roof Clean,"{'job_type': 'Roof Clean', 'location': 'Attadale', 'building_type': 'apartment block'}","{'items': [{'label': 'Tiled Roof Roof Clean', 'price': 400}], 'total': 400}"
Can you quote me for a apartment block in Mount Pleasant including Single Storey Window Clean,"{'job_type': 'Window Clean', 'location': 'Mount Pleasant', 'building_type': 'apartment block'}","{'items': [{'label': 'Single Storey Window Clean', 'price': 120}], 'total': 120}"
Can you quote me for a townhouse in Melville including 20 Panels Solar Panel Clean,"{'job_type': 'Solar Panel Clean', 'location': 'Melville', 'building_type': 'townhouse'}","{'items': [{'label': '20 Panels Solar Panel Clean', 'price': 150}], 'total': 150}"
Can you quote me for a townhouse in Applecross including Single Storey Window Clean,"{'job_type': 'Window Clean', 'location': 'Applecross', 'building_type': 'townhouse'}","{'items': [{'label': 'Single Storey Window Clean', 'price': 120}], 'total': 120}"
Can you quote me for a two-storey house in Applecross including Driveway Pressure Wash,"{'job_type': 'Pressure Wash', 'location': 'Applecross', 'building_type': 'two-storey house'}","{'items': [{'label': 'Driveway Pressure Wash', 'price': 140}], 'total': 140}"
"Can you quote me for a apartment block in Mount Pleasant including Driveway Pressure Wash, Tiled Roof Roof Clean, Double Storey Window Clean","{'job_type': 'Window Clean, Roof Clean, Pressure Wash', 'location': 'Mount Pleasant', 'building_type': 'apartment block'}","{'items': [{'label': 'Driveway Pressure Wash', 'price': 140}, {'label': 'Tiled Roof Roof Clean', 'price': 400}, {'label': 'Double Storey Window Clean', 'price': 180}], 'total': 720}"
Can you quote me for a apartment block in Mount Pleasant including Double Storey Window Clean,"{'job_type': 'Window Clean', 'location': 'Mount Pleasant', 'building_type': 'apartment block'}","{'items': [{'label': 'Double Storey Window Clean', 'price': 180}], 'total': 180}"
"Can you quote me for a townhouse in Attadale including Single Storey Window Clean, Tiled Roof Roof Clean, Double Storey Window Clean","{'job_type': 'Window Clean, Roof Clean', 'location': 'Attadale', 'building_type': 'townhouse'}","{'items': [{'label': 'Single Storey Window Clean', 'price': 120}, {'label': 'Tiled Roof Roof Clean', 'price': 400}, {'label': 'Double Storey Window Clean', 'price': 180}], 'total': 700}"
Can you quote me for a townhouse in Mount Pleasant including Single Storey Window Clean,"{'job_type': 'Window Clean', 'location': 'Mount Pleasant', 'building_type': 'townhouse'}","{'items': [{'label': 'Single Storey Window Clean', 'price': 120}], 'total': 120}"
Can you quote me for a single-storey house in Applecross including Full House Pressure Wash,"{'job_type': 'Pressure Wash', 'location': 'Applecross', 'building_type': 'single-storey house'}","{'items': [{'label': 'Full House Pressure Wash', 'price': 330}], 'total': 330}"
"Can you quote me for a townhouse in Applecross including Driveway Pressure Wash, Tiled Roof Roof Clean","{'job_type': 'Roof Clean, Pressure Wash', 'location': 'Applecross', 'building_type': 'townhouse'}","{'items': [{'label': 'Driveway Pressure Wash', 'price': 140}, {'label': 'Tiled Roof Roof Clean', 'price': 400}], 'total': 540}"
"Can you quote me for a two-storey house in Applecross including Standard Gutter Clean, Single Storey Window Clean","{'job_type': 'Window Clean, Gutter Clean', 'location': 'Applecross', 'building_type': 'two-storey house'}","{'items': [{'label': 'Standard Gutter Clean', 'price': 90}, {'label': 'Single Storey Window Clean', 'price': 120}], 'total': 210}"
Can you quote me for a two-storey house in Mount Pleasant including 20 Panels Solar Panel Clean,"{'job_type': 'Solar Panel Clean', 'location': 'Mount Pleasant', 'building_type': 'two-storey house'}","{'items': [{'label': '20 Panels Solar Panel Clean', 'price': 150}], 'total': 150}"
"Can you quote me for a apartment block in Applecross including Driveway Pressure Wash, Standard Gutter Clean","{'job_type': 'Gutter Clean, Pressure Wash', 'location': 'Applecross', 'building_type': 'apartment block'}","{'items': [{'label': 'Driveway Pressure Wash', 'price': 140}, {'label': 'Standard Gutter Clean', 'price': 90}], 'total': 230}"
Can you quote me for a two-storey house in Palmyra including Full House Pressure Wash,"{'job_type': 'Pressure Wash', 'location': 'Palmyra', 'building_type': 'two-storey house'}","{'items': [{'label': 'Full House Pressure Wash', 'price': 330}], 'total': 330}"
Can you quote me for a single-storey house in Bicton including 20 Panels Solar Panel Clean,"{'job_type': 'Solar Panel Clean', 'location': 'Bicton', 'building_type': 'single-storey house'}","{'items': [{'label': '20 Panels Solar Panel Clean', 'price': 150}], 'total': 150}"
Can you quote me for a two-storey house in Melville including Full House Pressure Wash,"{'job_type': 'Pressure Wash', 'location': 'Melville', 'building_type': 'two-storey house'}","{'items': [{'label': 'Full House Pressure Wash', 'price': 330}], 'total': 330}"
"Can you quote me for a apartment block in Applecross including Tiled Roof Roof Clean, Full House Pressure Wash, Single Storey Window Clean","{'job_type': 'Window Clean, Roof Clean, Pressure Wash', 'location': 'Applecross', 'building_type': 'apartment block'}","{'items': [{'label': 'Tiled Roof Roof Clean', 'price': 400}, {'label': 'Full House Pressure Wash', 'price': 330}, {'label': 'Single Storey Window Clean', 'price': 120}], 'total': 850}"
"Can you quote me for a single-storey house in Mount Pleasant including Driveway Pressure Wash, Full House Pressure Wash, Standard Gutter Clean","{'job_type': 'Gutter Clean, Pressure Wash', 'location': 'Mount Pleasant', 'building_type': 'single-storey house'}","{'items': [{'label': 'Driveway Pressure Wash', 'price': 140}, {'label': 'Full House Pressure Wash', 'price': 330}, {'label': 'Standard Gutter Clean', 'price': 90}], 'total': 560}"
Can you quote me for a two-storey house in Melville including Full House Pressure Wash,"{'job_type': 'Pressure Wash', 'location': 'Melville', 'building_type': 'two-storey house'}","{'items': [{'label': 'Full House Pressure Wash', 'price': 330}], 'total': 330}"
"Can you quote me for a townhouse in Mount Pleasant including Double Storey Window Clean, 2 Storey Exterior House Wash","{'job_type': 'Window Clean, Exterior House Wash', 'location': 'Mount Pleasant', 'building_type': 'townhouse'}","{'items': [{'label': 'Double Storey Window Clean', 'price': 180}, {'label': '2 Storey Exterior House Wash', 'price': 330}], 'total': 510}"
"Can you quote me for a townhouse in Melville including Double Storey Window Clean, 2 Storey Exterior House Wash, Single Storey Window Clean","{'job_type': 'Window Clean, Exterior House Wash', 'location': 'Melville', 'building_type': 'townhouse'}","{'items': [{'label': 'Double Storey Window Clean', 'price': 180}, {'label': '2 Storey Exterior House Wash', 'price': 330}, {'label': 'Single Storey Window Clean', 'price': 120}], 'total': 630}"
"Can you quote me for a single-storey house in Melville including 2 Storey Exterior House Wash, Full House Pressure Wash","{'job_type': 'Exterior House Wash, Pressure Wash', 'location': 'Melville', 'building_type': 'single-storey house'}","{'items': [{'label': '2 Storey Exterior House Wash', 'price': 330}, {'label': 'Full House Pressure Wash', 'price': 330}], 'total': 660}"
"Can you quote me for a townhouse in Palmyra including Full House Pressure Wash, Single Storey Window Clean","{'job_type': 'Window Clean, Pressure Wash', 'location': 'Palmyra', 'building_type': 'townhouse'}","{'items': [{'label': 'Full House Pressure Wash', 'price': 330}, {'label': 'Single Storey Window Clean', 'price': 120}], 'total': 450}"
Can you quote me for a single-storey house in Mount Pleasant including Full House Pressure Wash,"{'job_type': 'Pressure Wash', 'location': 'Mount Pleasant', 'building_type': 'single-storey house'}","{'items': [{'label': 'Full House Pressure Wash', 'price': 330}], 'total': 330}"
"Can you quote me for a two-storey house in Melville including Standard Gutter Clean, 20 Panels Solar Panel Clean, Tiled Roof Roof Clean","{'job_type': 'Solar Panel Clean, Roof Clean, Gutter Clean', 'location': 'Melville', 'building_type': 'two-storey house'}","{'items': [{'label': 'Standard Gutter Clean', 'price': 90}, {'label': '20 Panels Solar Panel Clean', 'price': 150}, {'label': 'Tiled Roof Roof Clean', 'price': 400}], 'total': 640}"
"Can you quote me for a townhouse in Palmyra including 2 Storey Exterior House Wash, Double Storey Window Clean, Single Storey Window Clean","{'job_type': 'Window Clean, Exterior House Wash', 'location': 'Palmyra', 'building_type': 'townhouse'}","{'items': [{'label': '2 Storey Exterior House Wash', 'price': 330}, {'label': 'Double Storey Window Clean', 'price': 180}, {'label': 'Single Storey Window Clean', 'price': 120}], 'total': 630}"
"Can you quote me for a townhouse in Applecross including 20 Panels Solar Panel Clean, Tiled Roof Roof Clean, Single Storey Window Clean","{'job_type': 'Window Clean, Solar Panel Clean, Roof Clean', 'location': 'Applecross', 'building_type': 'townhouse'}","{'items': [{'label': '20 Panels Solar Panel Clean', 'price': 150}, {'label': 'Tiled Roof Roof Clean', 'price': 400}, {'label': 'Single Storey Window Clean', 'price': 120}], 'total': 670}"
"Can you quote me for a townhouse in Mount Pleasant including 20 Panels Solar Panel Clean, Single Storey Window Clean, Standard Gutter Clean","{'job_type': 'Window Clean, Solar Panel Clean, Gutter Clean', 'location': 'Mount Pleasant', 'building_type': 'townhouse'}","{'items': [{'label': '20 Panels Solar Panel Clean', 'price': 150}, {'label': 'Single Storey Window Clean', 'price': 120}, {'label': 'Standard Gutter Clean', 'price': 90}], 'total': 360}"
Can you quote me for a two-storey house in Applecross including Double Storey Window Clean,"{'job_type': 'Window Clean', 'location': 'Applecross', 'building_type': 'two-storey house'}","{'items': [{'label': 'Double Storey Window Clean', 'price': 180}], 'total': 180}"
"Can you quote me for a apartment block in Bicton including Standard Gutter Clean, 2 Storey Exterior House Wash","{'job_type': 'Exterior House Wash, Gutter Clean', 'location': 'Bicton', 'building_type': 'apartment block'}","{'items': [{'label': 'Standard Gutter Clean', 'price': 90}, {'label': '2 Storey Exterior House Wash', 'price': 330}], 'total': 420}"
Can you quote me for a apartment block in Bicton including Driveway Pressure Wash,"{'job_type': 'Pressure Wash', 'location': 'Bicton', 'building_type': 'apartment block'}","{'items': [{'label': 'Driveway Pressure Wash', 'price': 140}], 'total': 140}"
Can you quote me for a single-storey house in Melville including 2 Storey Exterior House Wash,"{'job_type': 'Exterior House Wash', 'location': 'Melville', 'building_type': 'single-storey house'}","{'items': [{'label': '2 Storey Exterior House Wash', 'price': 330}], 'total': 330}"
"Can you quote me for a townhouse in Attadale including Single Storey Window Clean, Tiled Roof Roof Clean, Double Storey Window Clean","{'job_type': 'Window Clean, Roof Clean', 'location': 'Attadale', 'building_type': 'townhouse'}","{'items': [{'label': 'Single Storey Window Clean', 'price': 120}, {'label': 'Tiled Roof Roof Clean', 'price': 400}, {'label': 'Double Storey Window Clean', 'price': 180}], 'total': 700}"
"Can you quote me for a apartment block in Applecross including Double Storey Window Clean, Full House Pressure Wash, Tiled Roof Roof Clean","{'job_type': 'Window Clean, Roof Clean, Pressure Wash', 'location': 'Applecross', 'building_type': 'apartment block'}","{'items': [{'label': 'Double Storey Window Clean', 'price': 180}, {'label': 'Full House Pressure Wash', 'price': 330}, {'label': 'Tiled Roof Roof Clean', 'price': 400}], 'total': 910}"
"Can you quote me for a apartment block in Palmyra including Double Storey Window Clean, Single Storey Window Clean, 20 Panels Solar Panel Clean","{'job_type': 'Window Clean, Solar Panel Clean', 'location': 'Palmyra', 'building_type': 'apartment block'}","{'items': [{'label': 'Double Storey Window Clean', 'price': 180}, {'label': 'Single Storey Window Clean', 'price': 120}, {'label': '20 Panels Solar Panel Clean', 'price': 150}], 'total': 450}"
Can you quote me for a single-storey house in Applecross including 20 Panels Solar Panel Clean,"{'job_type': 'Solar Panel Clean', 'location': 'Applecross', 'building_type': 'single-storey house'}","{'items': [{'label': '20 Panels Solar Panel Clean', 'price': 150}], 'total': 150}"
"Can you quote me for a single-storey house in Applecross including 20 Panels Solar Panel Clean, Tiled Roof Roof Clean, 2 Storey Exterior House Wash","{'job_type': 'Solar Panel Clean, Roof Clean, Exterior House Wash', 'location': 'Applecross', 'building_type': 'single-storey house'}","{'items': [{'label': '20 Panels Solar Panel Clean', 'price': 150}, {'label': 'Tiled Roof Roof Clean', 'price': 400}, {'label': '2 Storey Exterior House Wash', 'price': 330}], 'total': 880}"
"Can you quote me for a apartment block in Bicton including Driveway Pressure Wash, Tiled Roof Roof Clean","{'job_type': 'Roof Clean, Pressure Wash', 'location': 'Bicton', 'building_type': 'apartment block'}","{'items': [{'label': 'Driveway Pressure Wash', 'price': 140}, {'label': 'Tiled Roof Roof Clean', 'price': 400}], 'total': 540}"
"Can you quote me for a single-storey house in Applecross including Tiled Roof Roof Clean, Driveway Pressure Wash, 20 Panels Solar Panel Clean","{'job_type': 'Roof Clean, Solar Panel Clean, Pressure Wash', 'location': 'Applecross', 'building_type': 'single-storey house'}","{'items': [{'label': 'Tiled Roof Roof Clean', 'price': 400}, {'label': 'Driveway Pressure Wash', 'price': 140}, {'label': '20 Panels Solar Panel Clean', 'price': 150}], 'total': 690}"
"Can you quote me for a apartment block in Applecross including Single Storey Window Clean, 20 Panels Solar Panel Clean, Tiled Roof Roof Clean","{'job_type': 'Window Clean, Solar Panel Clean, Roof Clean', 'location': 'Applecross', 'building_type': 'apartment block'}","{'items': [{'label': 'Single Storey Window Clean', 'price': 120}, {'label': '20 Panels Solar Panel Clean', 'price': 150}, {'label': 'Tiled Roof Roof Clean', 'price': 400}], 'total': 670}"
"Can you quote me for a two-storey house in Mount Pleasant including Double Storey Window Clean, 20 Panels Solar Panel Clean","{'job_type': 'Window Clean, Solar Panel Clean', 'location': 'Mount Pleasant', 'building_type': 'two-storey house'}","{'items': [{'label': 'Double Storey Window Clean', 'price': 180}, {'label': '20 Panels Solar Panel Clean', 'price': 150}], 'total': 330}"
Can you quote me for a townhouse in Bicton including Full House Pressure Wash,"{'job_type': 'Pressure Wash', 'location': 'Bicton', 'building_type': 'townhouse'}","{'items': [{'label': 'Full House Pressure Wash', 'price': 330}], 'total': 330}"
"Can you quote me for a single-storey house in Bicton including Full House Pressure Wash, Driveway Pressure Wash, Double Storey Window Clean","{'job_type': 'Window Clean, Pressure Wash', 'location': 'Bicton', 'building_type': 'single-storey house'}","{'items': [{'label': 'Full House Pressure Wash', 'price': 330}, {'label': 'Driveway Pressure Wash', 'price': 140}, {'label': 'Double Storey Window Clean', 'price': 180}], 'total': 650}"
"Can you quote me for a single-storey house in Attadale including Double Storey Window Clean, Single Storey Window Clean","{'job_type': 'Window Clean', 'location': 'Attadale', 'building_type': 'single-storey house'}","{'items': [{'label': 'Double Storey Window Clean', 'price': 180}, {'label': 'Single Storey Window Clean', 'price': 120}], 'total': 300}"
Can you quote me for a two-storey house in Bicton including 2 Storey Exterior House Wash,"{'job_type': 'Exterior House Wash', 'location': 'Bicton', 'building_type': 'two-storey house'}","{'items': [{'label': '2 Storey Exterior House Wash', 'price': 330}], 'total': 330}"
"Can you quote me for a two-storey house in Melville including 2 Storey Exterior House Wash, Standard Gutter Clean","{'job_type': 'Exterior House Wash, Gutter Clean', 'location': 'Melville', 'building_type': 'two-storey house'}","{'items': [{'label': '2 Storey Exterior House Wash', 'price': 330}, {'label': 'Standard Gutter Clean', 'price': 90}], 'total': 420}"
"Can you quote me for a single-storey house in Mount Pleasant including Tiled Roof Roof Clean, Full House Pressure Wash, Driveway Pressure Wash","{'job_type': 'Roof Clean, Pressure Wash', 'location': 'Mount Pleasant', 'building_type': 'single-storey house'}","{'items': [{'label': 'Tiled Roof Roof Clean', 'price': 400}, {'label': 'Full House Pressure Wash', 'price': 330}, {'label': 'Driveway Pressure Wash', 'price': 140}], 'total': 870}"
